num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
1963,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,8,1,144,2,35.1,0,0,6,8,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0.8,0.1,0.6,0,0,0,0.2,0,0,0,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8
1965,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,6,1,108,2,75.1,0,0,6,6,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0.9,0,0.4,0,0,0,0.2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2
1961,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,3,1,54,2,135.1,0,0,6,3,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.1,0,0.2,0,0,0,0.3,0,0,0,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2
1962,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,6,1,108,2,75.1,0,0,6,6,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.2,0.1,0.2,0,0,0,0.3,0,0,0,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
1966,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,8,1,144,2,35.1,0,0,6,8,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0.9,0,0.6,0,0,0,0.3,0,0,0,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4
1964,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,3,1,54,2,135.1,0,0,6,3,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1,0.1,0.4,0,0,0,0.4,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1968,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,6,1,108,2,75.1,0,0,6,6,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.6,0,0.2,0,0,0,0.4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2
1969,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,8,1,144,2,35.1,0,0,6,8,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.5,0,0.2,0,0,0,0.4,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
1971,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,6,1,108,2,75.1,0,0,6,6,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.7,0.1,0.3,0,0,0,0.5,0,0,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
1967,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,3,1,54,2,135.1,0,0,6,3,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.7,0.1,0.1,0,0,0,0.6,0,0,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.2
1970,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,3,1,54,2,135.1,0,0,6,3,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.8,0.1,0.3,0,0,0,1.1,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
1972,5,425.9,1.7,3,8,8,112,29,511,-3.3,2.5,0,0,0,0,0,0,4,8,1,144,2,35.1,0,0,6,8,0,0,0,0,0,0,0,0,9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1.7,0.1,0.4,0,0,0,1.1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.2
